"GroupDomain","GroupGuid","EmailAddresses"
"compudata.com","c34e92e9-81d9-4847-88b2-1154522e0aa4","SPO:SPO_1f1e8371-7893-434f-85b5-3bf0de9f99bd@SPO_c2466ba7-7890-4b1f-89ab-d78ec19a3278"
"compudata.com","c34e92e9-81d9-4847-88b2-1154522e0aa4","SMTP:1850DiamondStationRoadisAgland@Compudata0365.onmicrosoft.com"
"compudata.com","4db21522-6165-4a72-9287-02c45c1571e3","SPO:SPO_58558409-18df-407f-b670-b17a9222e0d0@SPO_c2466ba7-7890-4b1f-89ab-d78ec19a3278"
"compudata.com","4db21522-6165-4a72-9287-02c45c1571e3","SMTP:2021SOC2Type1Audit@Compudata0365.onmicrosoft.com"
"compudata.com","83411b42-d932-4463-8e01-49086995e7c7","SPO:SPO_23bc1cec-6535-4ff8-bdd3-2d411cb4bcf9@SPO_c2466ba7-7890-4b1f-89ab-d78ec19a3278"
"compudata.com","83411b42-d932-4463-8e01-49086995e7c7","SMTP:AbacusManagedServicesandCloud@Compudata0365.onmicrosoft.com"
"compudata.com","a8b658ba-c1ba-4093-9d96-e3cc245ab319","SPO:SPO_44a4125e-4d67-49c8-86b3-99ec13ec441b@SPO_c2466ba7-7890-4b1f-89ab-d78ec19a3278"
"compudata.com","a8b658ba-c1ba-4093-9d96-e3cc245ab319","SMTP:AccountingandFinance@Compudata0365.onmicrosoft.com"
"compudata.com","06bb0a8c-4ad5-4597-b5d2-6098f4174e74","SPO:SPO_60005edc-8bb3-4f09-a915-c332b6d6bf5d@SPO_c2466ba7-7890-4b1f-89ab-d78ec19a3278"
"compudata.com","06bb0a8c-4ad5-4597-b5d2-6098f4174e74","SMTP:ActiveInternalProjects@Compudata0365.onmicrosoft.com"
"compudata.com","72dc1328-bfd4-4e92-933d-2f98fff98140","SPO:SPO_4371c3fc-e0de-4e77-a0df-a1a6c5ebb24f@SPO_c2466ba7-7890-4b1f-89ab-d78ec19a3278"
"compudata.com","72dc1328-bfd4-4e92-933d-2f98fff98140","SMTP:ALPAzureHosting@Compudata0365.onmicrosoft.com"
"compudata.com","e7bc5924-7785-4b38-95d5-cdf361e51a1d","SPO:SPO_4e4732e4-25ca-405e-8d85-0ab29dde9145@SPO_c2466ba7-7890-4b1f-89ab-d78ec19a3278"
"compudata.com","e7bc5924-7785-4b38-95d5-cdf361e51a1d","SMTP:ALPManagedServices@Compudata0365.onmicrosoft.com"
"compudata.com","09cfacba-d7cc-4b94-8faa-1e1318bda7f5","SPO:SPO_6dbe8c37-d9fc-4a20-8da8-34981cae74e6@SPO_c2466ba7-7890-4b1f-89ab-d78ec19a3278"
"compudata.com","09cfacba-d7cc-4b94-8faa-1e1318bda7f5","SMTP:ALPSupplyManagedServices@Compudata0365.onmicrosoft.com"
